customer_id,net_sales
976,3789998.85
759,3512998.15
1363,2929997.25
260,2799998.7
1232,2751298.6999999997
1751,2664998.8499999996
1276,2635999.0
384,2629998.65
231,2627999.05
1965,2549999.2
1898,2534998.3
1442,2489998.9
2,2359998.8499999996
709,2345199.0
1781,2289998.9000000004
97,2259998.3000000003
1379,2224998.8
580,2219998.9499999997
1475,2219997.75
1044,2205198.8
1419,2159998.25
1514,2129999.05
1159,2114998.7
1908,2095199.1
917,2094998.7
297,2082598.8
921,2079998.45
1661,2074998.0499999998
642,2050199.0500000003
320,2049999.0999999999
1407,2040198.25
632,1999999.75
202,1984898.8000000003
1914,1977998.15
1893,1966298.2999999998
144,1950998.8
628,1944998.8
1677,1939999.0
1852,1928899.0999999999
513,1919999.0499999998
1837,1889999.25
309,1879999.0
1171,1869999.4
1266,1866498.7999999998
1591,1859999.0
37,1859998.6999999997
15,1839999.5
1258,1834999.1
1099,1824998.55
1410,1819998.95
1829,1809998.85
771,1804997.75
1336,1774999.0
799,1774998.25
945,1761298.95
1341,1760599.2999999998
933,1751999.55
302,1749998.95
1392,1745998.55
1085,1742798.6
955,1734998.9000000001
501,1733898.75
298,1729998.3499999999
1881,1726198.15
940,1695999.0
362,1694999.3
1956,1691998.25
1644,1688998.8
893,1679999.1
1455,1674999.4
1933,1674999.15
1233,1672598.3
1558,1669999.25
1693,1669999.25
1903,1659999.5
1294,1651998.4
1569,1647998.5999999999
1006,1639998.5999999999
176,1637199.15
1985,1632998.4
1724,1631998.6
27,1629998.9
1131,1626998.5
1209,1623899.0499999998
947,1619998.6
728,1619299.15
1816,1614998.35
1770,1609999.15
988,1609998.55
1388,1599999.75
68,1599999.0
207,1597598.7
173,1589998.8
1811,1584999.25
1397,1574999.5
1598,1570199.25
16,1568899.2
488,1559999.0
186,1559998.9
1324,1555998.4
1415,1551999.05
1495,1549999.45
181,1544999.0499999998
1287,1536298.25
91,1530998.9000000001
792,1529999.4
399,1529999.1
336,1519999.1500000001
1962,1519999.1
1992,1515999.5
303,1514999.1500000001
1828,1512998.9500000002
969,1509998.7
1285,1508998.75
1374,1501998.9500000002
990,1499999.6
1136,1499999.05
142,1494997.9
1979,1489999.75
530,1489999.4000000001
1729,1489999.3
1779,1489999.25
891,1484999.55
849,1474999.5999999999
59,1469999.65
660,1464999.25
1327,1459999.45
1271,1459998.85
1710,1459998.2
400,1455199.45
1028,1453199.0
1675,1449998.5
1378,1440998.65
1411,1439999.3499999999
391,1437598.4
1561,1434998.3499999999
1720,1431999.3499999999
1286,1429999.5
736,1421999.0
208,1419998.8499999999
1907,1409999.4500000002
971,1406499.25
825,1404999.65
1492,1401299.05
573,1399999.4000000001
471,1397999.05
806,1396499.05
217,1396298.05
788,1394999.2
